Instância,Dados Iniciais,Diagnóstico Inicial,Diagnóstico do Modelo,Contribuições
736,"{'Temperature': 25.0, 'Humidity': 39.8, 'PM2.5': 2.0, 'PM10': 8.399999999999999, 'NO2': 21.7, 'SO2': 4.0, 'CO': 0.96, 'Proximity_to_Industrial_Areas': 10.7, 'Population_Density': 290.0}",Good,Good,"{'PM10 <= -0.65': -0.04076022787915189, 'Population_Density <= -0.75': -0.036024898451976727, 'CO <= -0.86': -0.03469060986671734, 'Humidity <= -0.74': -0.03069679003841244, 'PM2.5 <= -0.63': 0.02694206080928318}"
737,"{'Temperature': 20.5, 'Humidity': 58.3, 'PM2.5': 1.8000000000000007, 'PM10': 6.699999999999999, 'NO2': 14.6, 'SO2': 4.8, 'CO': 0.78, 'Proximity_to_Industrial_Areas': 16.0, 'Population_Density': 260.0}",Good,Good,"{'PM10 <= -0.65': -0.04461762707644577, 'Population_Density <= -0.75': -0.03675956321041648, 'CO <= -0.86': -0.03225309239805291, 'PM2.5 <= -0.63': 0.03127870819892428, 'Humidity <= -0.74': -0.0302536304908149}"
738,"{'Temperature': 27.2, 'Humidity': 90.5, 'PM2.5': 13.9, 'PM10': 22.7, 'NO2': 26.6, 'SO2': 12.8, 'CO': 1.29, 'Proximity_to_Industrial_Areas': 7.6, 'Population_Density': 616.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.03600376244571548, '-0.31 < PM10 <= 0.30': -0.029024683997004884, 'Humidity > 0.65': 0.021516021992484216, '-0.73 < Temperature <= -0.15': -0.018782413016170642, '-0.86 < CO <= -0.17': -0.018486834811714193}"
739,"{'Temperature': 33.5, 'Humidity': 110.4, 'PM2.5': 34.0, 'PM10': 49.8, 'NO2': 30.4, 'SO2': 2.6000000000000005, 'CO': 2.06, 'Proximity_to_Industrial_Areas': 4.2, 'Population_Density': 706.0}",Poor,Poor,"{'PM10 > 0.30': 0.12548960784755614, 'CO > 0.62': 0.06259766413801511, 'Population_Density > 0.68': 0.04265261093159066, 'PM2.5 > 0.25': -0.03897366869989645, 'Proximity_to_Industrial_Areas <= -0.84': 0.026462429300981336}"
740,"{'Temperature': 30.2, 'Humidity': 56.8, 'PM2.5': 0.1999999999999993, 'PM10': 4.699999999999999, 'NO2': 24.6, 'SO2': 10.2, 'CO': 1.49, 'Proximity_to_Industrial_Areas': 5.3, 'Population_Density': 696.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.04921602122223452, 'PM10 <= -0.65': -0.04879028440343848, 'Proximity_to_Industrial_Areas <= -0.84': 0.025194779348323523, 'PM2.5 <= -0.63': 0.02454871289151444, 'Humidity <= -0.74': -0.022338201086646796}"
741,"{'Temperature': 31.0, 'Humidity': 78.0, 'PM2.5': 1.5, 'PM10': 5.699999999999999, 'NO2': 20.0, 'SO2': 4.7, 'CO': 1.02, 'Proximity_to_Industrial_Areas': 11.0, 'Population_Density': 279.0}",Good,Good,"{'PM10 <= -0.65': -0.042195676693658, 'Population_Density <= -0.75': -0.04178288521581437, 'CO <= -0.86': -0.028696228670875266, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.02503667543362002, 'SO2 <= -0.73': -0.017612791193171187}"
742,"{'Temperature': 38.5, 'Humidity': 96.6, 'PM2.5': 1.0, 'PM10': 29.0, 'NO2': 56.8, 'SO2': 25.8, 'CO': 3.02, 'Proximity_to_Industrial_Areas': 5.7, 'Population_Density': 571.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.06666427029956375, 'SO2 > 0.55': 0.04020106172927982, '-0.31 < PM10 <= 0.30': -0.03214013306557791, 'Temperature > 0.61': 0.0320741063835461, 'PM2.5 <= -0.63': 0.030113767896878803}"
743,"{'Temperature': 27.4, 'Humidity': 67.7, 'PM2.5': 36.3, 'PM10': 42.0, 'NO2': 27.0, 'SO2': 19.6, 'CO': 1.35, 'Proximity_to_Industrial_Areas': 7.4, 'Population_Density': 511.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11233793631563785, 'PM2.5 > 0.25': -0.03790698979979185, 'SO2 > 0.55': 0.029731852443241245, '-0.86 < CO <= -0.17': -0.02841630359351729, '-0.73 < Temperature <= -0.15': -0.006794142201753005}"
744,"{'Temperature': 29.8, 'Humidity': 90.6, 'PM2.5': 5.0, 'PM10': 34.0, 'NO2': 35.8, 'SO2': 9.8, 'CO': 1.78, 'Proximity_to_Industrial_Areas': 10.6, 'Population_Density': 492.0}",Poor,Poor,"{'-0.31 < PM10 <= 0.30': -0.03125341909513664, 'NO2 > 0.61': 0.031089203653769087, 'Humidity > 0.65': 0.021702913918642153, '-0.75 < Population_Density <= -0.02': -0.01638725400758501, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01599106378540987}"
745,"{'Temperature': 50.2, 'Humidity': 69.1, 'PM2.5': 0.3999999999999986, 'PM10': 24.1, 'NO2': 41.5, 'SO2': 21.9, 'CO': 2.82, 'Proximity_to_Industrial_Areas': 7.3, 'Population_Density': 883.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.060141593924455214, 'Population_Density > 0.68': 0.0455732939610088, 'NO2 > 0.61': 0.03943077932766774, 'SO2 > 0.55': 0.03267072735695427, 'PM2.5 <= -0.63': 0.028481329723931956}"
746,"{'Temperature': 22.0, 'Humidity': 51.9, 'PM2.5': 5.5, 'PM10': 9.8, 'NO2': 14.999999999999998, 'SO2': 7.3, 'CO': 0.88, 'Proximity_to_Industrial_Areas': 12.0, 'Population_Density': 601.0}",Good,Good,"{'PM10 <= -0.65': -0.0338548751729038, 'CO <= -0.86': -0.02850698561113264, 'Humidity <= -0.74': -0.02278194629497738, 'NO2 <= -0.71': -0.01893071463718157, 'Temperature <= -0.73': -0.014009089450042271}"
747,"{'Temperature': 37.2, 'Humidity': 98.9, 'PM2.5': 37.7, 'PM10': 57.5, 'NO2': 54.3, 'SO2': 30.6, 'CO': 2.45, 'Proximity_to_Industrial_Areas': 5.1, 'Population_Density': 572.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.134695064618681, 'CO > 0.62': 0.07985888166803043, 'PM2.5 > 0.25': -0.043533663941618894, 'Humidity > 0.65': 0.041376368930396354, 'SO2 > 0.55': 0.04093021844696892}"
748,"{'Temperature': 25.9, 'Humidity': 76.9, 'PM2.5': 27.2, 'PM10': 33.0, 'NO2': 22.2, 'SO2': 4.9, 'CO': 0.8999999999999999, 'Proximity_to_Industrial_Areas': 11.6, 'Population_Density': 336.0}",Good,Good,"{'PM2.5 > 0.25': -0.03303347061249391, 'Population_Density <= -0.75': -0.031036031568328685, '-0.31 < PM10 <= 0.30': -0.02805538021327391, 'CO <= -0.86': -0.020662872928772284, 'SO2 <= -0.73': -0.014682491021703532}"
749,"{'Temperature': 39.3, 'Humidity': 92.3, 'PM2.5': 16.0, 'PM10': 36.1, 'NO2': 51.6, 'SO2': 23.9, 'CO': 2.3, 'Proximity_to_Industrial_Areas': 7.3, 'Population_Density': 476.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.06096457149628151, 'NO2 > 0.61': 0.034584839275544656, 'Humidity > 0.65': 0.02848428433478079, 'SO2 > 0.55': 0.025557412294918695, 'Temperature > 0.61': 0.025215041551480532}"
750,"{'Temperature': 24.2, 'Humidity': 69.8, 'PM2.5': 0.3999999999999986, 'PM10': 5.800000000000001, 'NO2': 20.1, 'SO2': 15.8, 'CO': 1.27, 'Proximity_to_Industrial_Areas': 7.2, 'Population_Density': 568.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.04090381801693484, 'PM2.5 <= -0.63': 0.024976107352817866, 'SO2 > 0.55': 0.022366547630854956, '-0.86 < CO <= -0.17': -0.02023558561791455, 'NO2 <= -0.71': -0.0200449277689329}"
751,"{'Temperature': 29.1, 'Humidity': 71.8, 'PM2.5': 1.6000000000000014, 'PM10': 3.0, 'NO2': 23.7, 'SO2': 5.6, 'CO': 1.05, 'Proximity_to_Industrial_Areas': 12.2, 'Population_Density': 514.0}",Good,Good,"{'PM10 <= -0.65': -0.039328265513294304, '-0.86 < CO <= -0.17': -0.021365841523050974, 'PM2.5 <= -0.63': 0.016604127105491022, '-0.01 < Humidity <= 0.65': 0.0109310023961897, 'Proximity_to_Industrial_Areas > 0.74': -0.010261689211142342}"
752,"{'Temperature': 28.8, 'Humidity': 50.2, 'PM2.5': 2.8999999999999986, 'PM10': 8.0, 'NO2': 20.7, 'SO2': 5.0, 'CO': 1.08, 'Proximity_to_Industrial_Areas': 11.6, 'Population_Density': 209.0}",Good,Good,"{'PM10 <= -0.65': -0.03905951144416599, 'Population_Density <= -0.75': -0.03699435101893504, 'Humidity <= -0.74': -0.02359592875354307, 'PM2.5 <= -0.63': 0.023143656661019637, '-0.86 < CO <= -0.17': -0.022032216308253253}"
753,"{'Temperature': 25.3, 'Humidity': 44.4, 'PM2.5': 21.4, 'PM10': 29.0, 'NO2': 23.7, 'SO2': 5.7, 'CO': 0.89, 'Proximity_to_Industrial_Areas': 11.6, 'Population_Density': 241.0}",Good,Good,"{'Population_Density <= -0.75': -0.03354707053145869, '-0.31 < PM10 <= 0.30': -0.0276046416476455, 'CO <= -0.86': -0.02411769450803574, 'Humidity <= -0.74': -0.019117161505215696, '-0.71 < NO2 <= -0.14': -0.011600041149127067}"
754,"{'Temperature': 27.3, 'Humidity': 78.1, 'PM2.5': 8.6, 'PM10': 7.800000000000001, 'NO2': 13.8, 'SO2': 5.6, 'CO': 1.06, 'Proximity_to_Industrial_Areas': 11.0, 'Population_Density': 447.0}",Good,Good,"{'PM10 <= -0.65': -0.0400525203703598, '-0.86 < CO <= -0.17': -0.01862319584835818, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.014777894514511747, '-0.63 < PM2.5 <= -0.33': 0.014100968758939575, 'NO2 <= -0.71': -0.012903076190375572}"
755,"{'Temperature': 25.1, 'Humidity': 45.2, 'PM2.5': 5.599999999999998, 'PM10': 10.3, 'NO2': 14.7, 'SO2': 3.1000000000000005, 'CO': 1.01, 'Proximity_to_Industrial_Areas': 12.0, 'Population_Density': 566.0}",Good,Good,"{'PM10 <= -0.65': -0.040559149702211, 'CO <= -0.86': -0.027666349086047513, 'Humidity <= -0.74': -0.0207545131522451, 'Temperature <= -0.73': -0.020528041018745356, 'NO2 <= -0.71': -0.019132288487632387}"
756,"{'Temperature': 32.0, 'Humidity': 79.0, 'PM2.5': 117.8, 'PM10': 127.8, 'NO2': 39.4, 'SO2': 28.4, 'CO': 2.75, 'Proximity_to_Industrial_Areas': 9.2, 'Population_Density': 774.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.13244213844067357, 'CO > 0.62': 0.07144089800942792, 'Population_Density > 0.68': 0.05680408019388574, 'PM2.5 > 0.25': -0.048403645150210485, 'NO2 > 0.61': 0.04698078586727701}"
757,"{'Temperature': 35.5, 'Humidity': 100.3, 'PM2.5': 3.1999999999999993, 'PM10': 22.2, 'NO2': 38.7, 'SO2': 16.2, 'CO': 1.74, 'Proximity_to_Industrial_Areas': 7.9, 'Population_Density': 717.0}",Poor,Poor,"{'Population_Density > 0.68': 0.05134940288306398, 'Humidity > 0.65': 0.036649585259890774, 'NO2 > 0.61': 0.03503095604506104, '-0.31 < PM10 <= 0.30': -0.030258896278389225, 'Temperature > 0.61': 0.028658551196300886}"
758,"{'Temperature': 33.9, 'Humidity': 76.5, 'PM2.5': 3.5, 'PM10': 8.3, 'NO2': 21.9, 'SO2': 10.8, 'CO': 1.4, 'Proximity_to_Industrial_Areas': 5.1, 'Population_Density': 345.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.05102524155009555, 'Population_Density <= -0.75': -0.04514809012921344, 'Proximity_to_Industrial_Areas <= -0.84': 0.04082753679628641, 'PM2.5 <= -0.63': 0.02477440391114942, '-0.86 < CO <= -0.17': -0.02082314211003855}"
759,"{'Temperature': 36.2, 'Humidity': 97.0, 'PM2.5': 72.69999999999999, 'PM10': 95.2, 'NO2': 33.5, 'SO2': 10.9, 'CO': 2.25, 'Proximity_to_Industrial_Areas': 4.9, 'Population_Density': 432.0}",Poor,Poor,"{'PM10 > 0.30': 0.1355088904502307, 'CO > 0.62': 0.07457953506955653, 'Temperature > 0.61': 0.039861938174822226, 'PM2.5 > 0.25': -0.03854482982554566, 'NO2 > 0.61': 0.03286027096198833}"
760,"{'Temperature': 20.2, 'Humidity': 58.7, 'PM2.5': 49.8, 'PM10': 55.5, 'NO2': 25.3, 'SO2': 6.300000000000001, 'CO': 0.94, 'Proximity_to_Industrial_Areas': 15.1, 'Population_Density': 589.0}",Good,Good,"{'PM10 > 0.30': 0.10835565999336395, 'PM2.5 > 0.25': -0.034569297064884034, 'CO <= -0.86': -0.0273032983154438, 'Temperature <= -0.73': -0.021377848872657555, '-0.73 < SO2 <= -0.29': -0.01324102733555715}"
761,"{'Temperature': 28.9, 'Humidity': 62.4, 'PM2.5': 4.800000000000001, 'PM10': 10.7, 'NO2': 17.7, 'SO2': 4.3, 'CO': 0.86, 'Proximity_to_Industrial_Areas': 12.1, 'Population_Density': 296.0}",Good,Good,"{'PM10 <= -0.65': -0.04009453145030923, 'Population_Density <= -0.75': -0.034893943490874685, 'CO <= -0.86': -0.031529405673240196, 'SO2 <= -0.73': -0.01999946678773999, 'Proximity_to_Industrial_Areas > 0.74': -0.012155554861383066}"
762,"{'Temperature': 26.5, 'Humidity': 51.7, 'PM2.5': 0.6999999999999993, 'PM10': 5.300000000000001, 'NO2': 10.7, 'SO2': 7.1, 'CO': 1.05, 'Proximity_to_Industrial_Areas': 10.2, 'Population_Density': 555.0}",Good,Good,"{'PM10 <= -0.65': -0.04887301100332598, 'Humidity <= -0.74': -0.027175093010968904, '-0.86 < CO <= -0.17': -0.02415602907351196, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.02274180525624525, 'PM2.5 <= -0.63': 0.02119733715635395}"
763,"{'Temperature': 21.4, 'Humidity': 65.3, 'PM2.5': 9.9, 'PM10': 12.7, 'NO2': 25.5, 'SO2': 2.5, 'CO': 1.01, 'Proximity_to_Industrial_Areas': 11.7, 'Population_Density': 295.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03533086840788449, 'Population_Density <= -0.75': -0.03073827315415961, 'CO <= -0.86': -0.027664039467833954, '-0.63 < PM2.5 <= -0.33': 0.025786231545479796, 'Proximity_to_Industrial_Areas > 0.74': -0.017092132855499688}"
764,"{'Temperature': 35.4, 'Humidity': 54.8, 'PM2.5': 2.3000000000000007, 'PM10': 6.199999999999999, 'NO2': 16.5, 'SO2': 7.2, 'CO': 1.03, 'Proximity_to_Industrial_Areas': 10.9, 'Population_Density': 490.0}",Good,Good,"{'PM10 <= -0.65': -0.03576139930957615, 'CO <= -0.86': -0.031040037462132145, 'Temperature > 0.61': 0.024390908273479832, 'Humidity <= -0.74': -0.019822312163321722, 'PM2.5 <= -0.63': 0.012228678397695265}"
765,"{'Temperature': 27.3, 'Humidity': 53.4, 'PM2.5': 6.700000000000001, 'PM10': 13.600000000000001, 'NO2': 24.0, 'SO2': 6.7, 'CO': 0.99, 'Proximity_to_Industrial_Areas': 10.6, 'Population_Density': 208.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.038845733402094046, 'Population_Density <= -0.75': -0.03132188731067865, 'CO <= -0.86': -0.030617330264364653, 'Humidity <= -0.74': -0.027304080395927643, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.013111802596435454}"
766,"{'Temperature': 32.2, 'Humidity': 65.9, 'PM2.5': 1.3000000000000007, 'PM10': 20.9, 'NO2': 46.3, 'SO2': 21.0, 'CO': 1.82, 'Proximity_to_Industrial_Areas': 4.8, 'Population_Density': 634.0}",Poor,Poor,"{'-0.65 < PM10 <= -0.31': -0.03701710975753157, 'Population_Density > 0.68': 0.03701289837923277, 'PM2.5 <= -0.63': 0.02680340228172148, 'NO2 > 0.61': 0.02620725674950619, 'Proximity_to_Industrial_Areas <= -0.84': 0.02318707793871631}"
767,"{'Temperature': 16.9, 'Humidity': 72.9, 'PM2.5': 1.3000000000000007, 'PM10': 0.1999999999999993, 'NO2': 27.6, 'SO2': 6.4, 'CO': 0.97, 'Proximity_to_Industrial_Areas': 13.7, 'Population_Density': 339.0}",Good,Good,"{'PM10 <= -0.65': -0.04429290539287781, 'Population_Density <= -0.75': -0.03466334140127426, 'CO <= -0.86': -0.025490379481021792, 'Temperature <= -0.73': -0.020228502235314118, 'PM2.5 <= -0.63': 0.01612920043865052}"
768,"{'Temperature': 25.5, 'Humidity': 81.0, 'PM2.5': 1.1000000000000014, 'PM10': 9.899999999999999, 'NO2': 31.2, 'SO2': 12.3, 'CO': 1.77, 'Proximity_to_Industrial_Areas': 5.9, 'Population_Density': 572.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.040529652688925465, 'PM2.5 <= -0.63': 0.026882548544191552, 'Humidity > 0.65': 0.013581942719616182, '-0.73 < Temperature <= -0.15': -0.013115731495571627, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.008658472911063694}"
769,"{'Temperature': 34.4, 'Humidity': 90.8, 'PM2.5': 12.5, 'PM10': 27.0, 'NO2': 29.4, 'SO2': 9.8, 'CO': 1.47, 'Proximity_to_Industrial_Areas': 11.0, 'Population_Density': 477.0}",Moderate,Moderate,"{'Temperature > 0.61': 0.03688723063594493, '-0.31 < PM10 <= 0.30': -0.029838108099903553, 'Humidity > 0.65': 0.028855943970107864, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01858583316047121, '-0.75 < Population_Density <= -0.02': -0.014412953585802418}"
770,"{'Temperature': 37.2, 'Humidity': 102.1, 'PM2.5': 20.6, 'PM10': 36.4, 'NO2': 37.9, 'SO2': 24.6, 'CO': 3.07, 'Proximity_to_Industrial_Areas': 4.1, 'Population_Density': 508.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.0602913757541026, 'NO2 > 0.61': 0.036952460916377265, '-0.31 < PM10 <= 0.30': -0.03268210669299965, 'SO2 > 0.55': 0.03219546940989856, 'Humidity > 0.65': 0.03183558864478844}"
771,"{'Temperature': 21.5, 'Humidity': 83.1, 'PM2.5': 19.3, 'PM10': 25.4, 'NO2': 12.9, 'SO2': 3.2, 'CO': 1.13, 'Proximity_to_Industrial_Areas': 10.5, 'Population_Density': 335.0}",Good,Good,"{'Population_Density <= -0.75': -0.031388594655094006, '-0.31 < PM10 <= 0.30': -0.02768330389189699, '-0.86 < CO <= -0.17': -0.021801675169910852, 'Humidity > 0.65': 0.016763382872936754, 'Temperature <= -0.73': -0.016470185953738063}"
772,"{'Temperature': 38.0, 'Humidity': 77.7, 'PM2.5': 49.8, 'PM10': 65.9, 'NO2': 42.7, 'SO2': 17.2, 'CO': 2.02, 'Proximity_to_Industrial_Areas': 6.2, 'Population_Density': 750.0}",Hazardous,Poor,"{'PM10 > 0.30': 0.11907948393854914, 'CO > 0.62': 0.06041747843746046, 'Population_Density > 0.68': 0.04644969076505475, 'PM2.5 > 0.25': -0.04210647930352681, 'NO2 > 0.61': 0.03698723665867493}"
773,"{'Temperature': 37.2, 'Humidity': 73.0, 'PM2.5': 36.6, 'PM10': 64.7, 'NO2': 48.2, 'SO2': 20.6, 'CO': 1.94, 'Proximity_to_Industrial_Areas': 4.0, 'Population_Density': 514.0}",Hazardous,Poor,"{'PM10 > 0.30': 0.12388987418041769, 'CO > 0.62': 0.05617601494796395, 'PM2.5 > 0.25': -0.04108648802950451, 'NO2 > 0.61': 0.032720630339344206, 'Temperature > 0.61': 0.03209960617229688}"
774,"{'Temperature': 27.8, 'Humidity': 74.4, 'PM2.5': 13.2, 'PM10': 22.2, 'NO2': 22.8, 'SO2': 6.5, 'CO': 1.69, 'Proximity_to_Industrial_Areas': 5.4, 'Population_Density': 422.0}",Moderate,Moderate,"{'Proximity_to_Industrial_Areas <= -0.84': 0.03820652419906393, '-0.31 < PM10 <= 0.30': -0.02788434498964762, '-0.75 < Population_Density <= -0.02': -0.016317689526235496, '-0.71 < NO2 <= -0.14': -0.011833232184573864, '-0.01 < Humidity <= 0.65': 0.011430232750235973}"
775,"{'Temperature': 22.7, 'Humidity': 58.8, 'PM2.5': 16.0, 'PM10': 21.7, 'NO2': 14.8, 'SO2': 4.5, 'CO': 0.95, 'Proximity_to_Industrial_Areas': 10.0, 'Population_Density': 324.0}",Good,Good,"{'Population_Density <= -0.75': -0.037341069752138835, '-0.65 < PM10 <= -0.31': -0.03667104326205706, 'CO <= -0.86': -0.03064229994866136, 'Temperature <= -0.73': -0.020204993067272848, 'NO2 <= -0.71': -0.014364802381936199}"
776,"{'Temperature': 39.1, 'Humidity': 79.9, 'PM2.5': 7.9, 'PM10': 19.7, 'NO2': 34.6, 'SO2': 10.7, 'CO': 1.71, 'Proximity_to_Industrial_Areas': 5.5, 'Population_Density': 609.0}",Moderate,Poor,"{'Population_Density > 0.68': 0.05192670623763789, '-0.65 < PM10 <= -0.31': -0.040741017658682606, 'Temperature > 0.61': 0.03783568352782899, 'NO2 > 0.61': 0.028487239039138943, '-0.01 < Humidity <= 0.65': 0.009662045533141525}"
777,"{'Temperature': 34.2, 'Humidity': 51.9, 'PM2.5': 4.100000000000001, 'PM10': 11.600000000000001, 'NO2': 14.5, 'SO2': 5.4, 'CO': 1.17, 'Proximity_to_Industrial_Areas': 10.2, 'Population_Density': 421.0}",Good,Good,"{'PM10 <= -0.65': -0.043583815565128504, 'Temperature > 0.61': 0.03658830485378159, 'PM2.5 <= -0.63': 0.025701855780793228, '-0.86 < CO <= -0.17': -0.025387413234329047, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.020256713211449236}"
778,"{'Temperature': 23.5, 'Humidity': 67.6, 'PM2.5': 0.1999999999999993, 'PM10': 4.300000000000001, 'NO2': 24.5, 'SO2': 6.4, 'CO': 1.19, 'Proximity_to_Industrial_Areas': 14.6, 'Population_Density': 412.0}",Good,Good,"{'PM10 <= -0.65': -0.039781944693678774, 'PM2.5 <= -0.63': 0.021115441202868335, '-0.86 < CO <= -0.17': -0.020337442014709328, '-0.75 < Population_Density <= -0.02': -0.019889710509882697, 'Temperature <= -0.73': -0.014688790676962084}"
779,"{'Temperature': 28.0, 'Humidity': 45.2, 'PM2.5': 7.3000000000000025, 'PM10': 9.7, 'NO2': 24.1, 'SO2': 2.2, 'CO': 1.13, 'Proximity_to_Industrial_Areas': 12.7, 'Population_Density': 286.0}",Good,Good,"{'PM10 <= -0.65': -0.04093273865788989, 'Population_Density <= -0.75': -0.035691171851735266, '-0.86 < CO <= -0.17': -0.02659386578420712, 'Humidity <= -0.74': -0.022547686265438585, 'SO2 <= -0.73': -0.01497967057317978}"
780,"{'Temperature': 27.0, 'Humidity': 43.9, 'PM2.5': 6.700000000000001, 'PM10': 12.3, 'NO2': 11.3, 'SO2': 6.2, 'CO': 0.95, 'Proximity_to_Industrial_Areas': 10.7, 'Population_Density': 279.0}",Good,Good,"{'PM10 <= -0.65': -0.0405073978120091, 'Population_Density <= -0.75': -0.0362604232890786, 'Humidity <= -0.74': -0.025536415222184566, 'CO <= -0.86': -0.025047661299452, 'NO2 <= -0.71': -0.0184089419232373}"
781,"{'Temperature': 44.4, 'Humidity': 99.7, 'PM2.5': 1.8999999999999986, 'PM10': 4.199999999999999, 'NO2': 33.4, 'SO2': 6.300000000000001, 'CO': 2.88, 'Proximity_to_Industrial_Areas': 4.9, 'Population_Density': 710.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.050853292924696834, 'PM10 <= -0.65': -0.046539023319771576, 'Population_Density > 0.68': 0.042819219272695615, 'Proximity_to_Industrial_Areas <= -0.84': 0.040742620540377715, 'Humidity > 0.65': 0.03476904799834097}"
782,"{'Temperature': 40.5, 'Humidity': 76.1, 'PM2.5': 52.1, 'PM10': 80.9, 'NO2': 35.7, 'SO2': 10.5, 'CO': 2.88, 'Proximity_to_Industrial_Areas': 7.3, 'Population_Density': 640.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.11981532381322782, 'CO > 0.62': 0.059159186127975875, 'Population_Density > 0.68': 0.048959784804262815, 'NO2 > 0.61': 0.04224265131971443, 'PM2.5 > 0.25': -0.03930858789848996}"
783,"{'Temperature': 25.2, 'Humidity': 60.0, 'PM2.5': 6.800000000000001, 'PM10': 12.0, 'NO2': 25.3, 'SO2': 3.8, 'CO': 1.02, 'Proximity_to_Industrial_Areas': 11.2, 'Population_Density': 509.0}",Good,Good,"{'PM10 <= -0.65': -0.04175597823051836, 'CO <= -0.86': -0.030027259131045522, 'SO2 <= -0.73': -0.01769626766469086, '-0.73 < Temperature <= -0.15': -0.01494864336001378, '-0.14 < NO2 <= 0.61': -0.012657575492181381}"
784,"{'Temperature': 33.8, 'Humidity': 81.1, 'PM2.5': 7.3000000000000025, 'PM10': 21.3, 'NO2': 38.8, 'SO2': 22.0, 'CO': 2.35, 'Proximity_to_Industrial_Areas': 6.3, 'Population_Density': 693.0}",Poor,Poor,"{'CO > 0.62': 0.054156835506590416, 'Population_Density > 0.68': 0.04150122627905832, '-0.65 < PM10 <= -0.31': -0.036623071491600184, 'NO2 > 0.61': 0.034565504313751175, 'SO2 > 0.55': 0.028306429447283805}"
785,"{'Temperature': 23.7, 'Humidity': 50.0, 'PM2.5': 13.4, 'PM10': 22.0, 'NO2': 21.2, 'SO2': 16.8, 'CO': 2.07, 'Proximity_to_Industrial_Areas': 8.1, 'Population_Density': 588.0}",Moderate,Moderate,"{'CO > 0.62': 0.05088836991356465, '-0.31 < PM10 <= 0.30': -0.03689012420603671, 'Humidity <= -0.74': -0.02738382675668741, 'SO2 > 0.55': 0.02270297095874226, 'Temperature <= -0.73': -0.016253670462974}"
786,"{'Temperature': 38.7, 'Humidity': 116.9, 'PM2.5': 33.1, 'PM10': 53.6, 'NO2': 46.0, 'SO2': 26.2, 'CO': 2.46, 'Proximity_to_Industrial_Areas': 8.2, 'Population_Density': 834.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.13654522560783605, 'CO > 0.62': 0.07434395903068679, 'Population_Density > 0.68': 0.05840558069038701, 'PM2.5 > 0.25': -0.04847156867027769, 'SO2 > 0.55': 0.04195103225441702}"
787,"{'Temperature': 39.4, 'Humidity': 57.0, 'PM2.5': 11.2, 'PM10': 26.3, 'NO2': 28.7, 'SO2': 20.4, 'CO': 2.01, 'Proximity_to_Industrial_Areas': 3.8, 'Population_Density': 468.0}",Poor,Poor,"{'CO > 0.62': 0.06426967420294863, 'SO2 > 0.55': 0.04140071555887892, '-0.31 < PM10 <= 0.30': -0.03538799272698983, 'Humidity <= -0.74': -0.026001118923602438, 'Proximity_to_Industrial_Areas <= -0.84': 0.02395866665331171}"
788,"{'Temperature': 28.1, 'Humidity': 65.8, 'PM2.5': 3.1000000000000014, 'PM10': 8.600000000000001, 'NO2': 14.6, 'SO2': 5.2, 'CO': 0.86, 'Proximity_to_Industrial_Areas': 10.9, 'Population_Density': 370.0}",Good,Good,"{'PM10 <= -0.65': -0.040160684333053025, 'Population_Density <= -0.75': -0.03258101892174976, 'CO <= -0.86': -0.030591938765894937, 'PM2.5 <= -0.63': 0.025987534120733374, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01609090325028665}"
789,"{'Temperature': 28.6, 'Humidity': 72.9, 'PM2.5': 13.8, 'PM10': 19.3, 'NO2': 19.7, 'SO2': 2.9000000000000004, 'CO': 0.98, 'Proximity_to_Industrial_Areas': 10.4, 'Population_Density': 575.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03577337372907066, 'CO <= -0.86': -0.028935471317240006, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.019389428222748566, 'NO2 <= -0.71': -0.0164074853327479, '-0.73 < Temperature <= -0.15': -0.014326090605877879}"
